filename,distortion_scale,flip_prob,loss,samples_per_point
ILSVRC2012_val_00035367.png,0.25,0.5,0.39362648129463196,1
ILSVRC2012_val_00017440.png,0.25,0.5,0.03700735419988632,1
ILSVRC2012_val_00026908.png,0.25,0.5,0.1733667552471161,1
ILSVRC2012_val_00028221.png,0.25,0.5,0.14983992278575897,1
ILSVRC2012_val_00018317.png,0.25,0.75,1.5873712301254272,1
ILSVRC2012_val_00045761.png,0.25,0.75,0.036005690693855286,1
ILSVRC2012_val_00020011.png,0.25,0.75,0.14295731484889984,1
ILSVRC2012_val_00026001.png,0.25,0.75,3.1025540828704834,1
ILSVRC2012_val_00035367.png,0.25,0.75,0.3035019636154175,1
ILSVRC2012_val_00017440.png,0.25,0.75,0.11464008688926697,1
ILSVRC2012_val_00026908.png,0.25,0.75,0.6028041243553162,1
ILSVRC2012_val_00028221.png,0.25,0.75,0.07242438197135925,1
ILSVRC2012_val_00018317.png,0.25,1.0,5.908419609069824,1
ILSVRC2012_val_00045761.png,0.25,1.0,0.04767630994319916,1
ILSVRC2012_val_00020011.png,0.25,1.0,0.01953715831041336,1
ILSVRC2012_val_00026001.png,0.25,1.0,2.943091630935669,1
ILSVRC2012_val_00035367.png,0.25,1.0,1.496766209602356,1
ILSVRC2012_val_00017440.png,0.25,1.0,0.35792455077171326,1
ILSVRC2012_val_00026908.png,0.25,1.0,0.4033140242099762,1
ILSVRC2012_val_00028221.png,0.25,1.0,0.029078928753733635,1
ILSVRC2012_val_00018317.png,0.3,0.0,9.617753028869629,1
ILSVRC2012_val_00045761.png,0.3,0.0,3.0405516624450684,1
ILSVRC2012_val_00020011.png,0.3,0.0,1.1584185361862183,1
ILSVRC2012_val_00026001.png,0.3,0.0,1.6004281044006348,1
ILSVRC2012_val_00035367.png,0.3,0.0,1.4312496185302734,1
ILSVRC2012_val_00017440.png,0.3,0.0,0.9421596527099609,1
ILSVRC2012_val_00026908.png,0.3,0.0,6.143164157867432,1
ILSVRC2012_val_00028221.png,0.3,0.0,1.6209052801132202,1
ILSVRC2012_val_00018317.png,0.3,0.25,2.3002545833587646,1
ILSVRC2012_val_00045761.png,0.3,0.25,0.11268965154886246,1
ILSVRC2012_val_00020011.png,0.3,0.25,1.2570797204971313,1
ILSVRC2012_val_00026001.png,0.3,0.25,4.459311485290527,1
ILSVRC2012_val_00035367.png,0.3,0.25,0.2909182906150818,1
ILSVRC2012_val_00017440.png,0.3,0.25,0.02385544776916504,1
ILSVRC2012_val_00026908.png,0.3,0.25,6.385136604309082,1
ILSVRC2012_val_00028221.png,0.3,0.25,0.2197127491235733,1
ILSVRC2012_val_00018317.png,0.3,0.5,0.5777567028999329,1
ILSVRC2012_val_00045761.png,0.3,0.5,7.769774436950684,1
ILSVRC2012_val_00020011.png,0.3,0.5,3.1403920650482178,1
ILSVRC2012_val_00026001.png,0.3,0.5,2.181027412414551,1
ILSVRC2012_val_00035367.png,0.3,0.5,0.5973561406135559,1
ILSVRC2012_val_00017440.png,0.3,0.5,0.023699460551142693,1
ILSVRC2012_val_00026908.png,0.3,0.5,0.0681169331073761,1
ILSVRC2012_val_00028221.png,0.3,0.5,0.10662801563739777,1
ILSVRC2012_val_00018317.png,0.3,0.75,5.162041187286377,1
ILSVRC2012_val_00045761.png,0.3,0.75,3.7374801635742188,1
ILSVRC2012_val_00020011.png,0.3,0.75,0.31530556082725525,1
ILSVRC2012_val_00026001.png,0.3,0.75,1.404343605041504,1
ILSVRC2012_val_00035367.png,0.3,0.75,1.2553441524505615,1
ILSVRC2012_val_00017440.png,0.3,0.75,0.014319637790322304,1
ILSVRC2012_val_00026908.png,0.3,0.75,0.44021540880203247,1
ILSVRC2012_val_00028221.png,0.3,0.75,0.1265840083360672,1
ILSVRC2012_val_00018317.png,0.3,1.0,6.531327724456787,1
ILSVRC2012_val_00045761.png,0.3,1.0,0.48071447014808655,1
ILSVRC2012_val_00020011.png,0.3,1.0,2.5189192295074463,1
ILSVRC2012_val_00026001.png,0.3,1.0,2.522520065307617,1
ILSVRC2012_val_00035367.png,0.3,1.0,3.068474769592285,1
ILSVRC2012_val_00017440.png,0.3,1.0,0.5363518595695496,1
ILSVRC2012_val_00026908.png,0.3,1.0,4.881102085113525,1
ILSVRC2012_val_00028221.png,0.3,1.0,0.25914737582206726,1
ILSVRC2012_val_00018317.png,0.4,0.0,9.592039108276367,1
ILSVRC2012_val_00045761.png,0.4,0.0,6.175114631652832,1
ILSVRC2012_val_00020011.png,0.4,0.0,0.4102838337421417,1
ILSVRC2012_val_00026001.png,0.4,0.0,1.325302004814148,1
ILSVRC2012_val_00035367.png,0.4,0.0,4.33250093460083,1
ILSVRC2012_val_00017440.png,0.4,0.0,0.04170733690261841,1
ILSVRC2012_val_00026908.png,0.4,0.0,1.2980332374572754,1
ILSVRC2012_val_00028221.png,0.4,0.0,0.12273494899272919,1
ILSVRC2012_val_00018317.png,0.4,0.25,5.2688822746276855,1
ILSVRC2012_val_00045761.png,0.4,0.25,6.301627159118652,1
ILSVRC2012_val_00020011.png,0.4,0.25,0.4908790588378906,1
ILSVRC2012_val_00026001.png,0.4,0.25,0.871656060218811,1
ILSVRC2012_val_00035367.png,0.4,0.25,3.0943472385406494,1
ILSVRC2012_val_00017440.png,0.4,0.25,0.14204181730747223,1
ILSVRC2012_val_00026908.png,0.4,0.25,0.05042365565896034,1
ILSVRC2012_val_00028221.png,0.4,0.25,0.12794843316078186,1
ILSVRC2012_val_00018317.png,0.4,0.5,6.940855503082275,1
ILSVRC2012_val_00045761.png,0.4,0.5,3.766186475753784,1
ILSVRC2012_val_00020011.png,0.4,0.5,0.696881115436554,1
ILSVRC2012_val_00026001.png,0.4,0.5,0.2401706725358963,1
ILSVRC2012_val_00035367.png,0.4,0.5,3.723681926727295,1
ILSVRC2012_val_00017440.png,0.4,0.5,0.5270317196846008,1
ILSVRC2012_val_00026908.png,0.4,0.5,1.1144485473632812,1
ILSVRC2012_val_00028221.png,0.4,0.5,1.6796212196350098,1
ILSVRC2012_val_00018317.png,0.4,0.75,6.526495456695557,1
ILSVRC2012_val_00045761.png,0.4,0.75,3.403301954269409,1
ILSVRC2012_val_00020011.png,0.4,0.75,3.457508087158203,1
ILSVRC2012_val_00026001.png,0.4,0.75,2.624427318572998,1
ILSVRC2012_val_00035367.png,0.4,0.75,0.26569032669067383,1
ILSVRC2012_val_00017440.png,0.4,0.75,0.11860455572605133,1
ILSVRC2012_val_00026908.png,0.4,0.75,5.429248809814453,1
ILSVRC2012_val_00028221.png,0.4,0.75,0.3379676043987274,1
ILSVRC2012_val_00018317.png,0.4,1.0,8.447011947631836,1
ILSVRC2012_val_00045761.png,0.4,1.0,7.114377021789551,1
ILSVRC2012_val_00020011.png,0.4,1.0,0.9643514752388,1
ILSVRC2012_val_00026001.png,0.4,1.0,3.374519109725952,1
ILSVRC2012_val_00035367.png,0.4,1.0,3.6871144771575928,1
ILSVRC2012_val_00017440.png,0.4,1.0,1.8955581188201904,1
ILSVRC2012_val_00026908.png,0.4,1.0,4.948753356933594,1
ILSVRC2012_val_00028221.png,0.4,1.0,0.06991422176361084,1
ILSVRC2012_val_00018317.png,0.5,0.0,4.94130802154541,1
ILSVRC2012_val_00045761.png,0.5,0.0,4.895396709442139,1
ILSVRC2012_val_00020011.png,0.5,0.0,7.2293171882629395,1
